Category,Command,Sub-command,Caller,Description,Format,Example,Progress,Notes
Configuration,config,init,htcli config init,Initialize Hypertensor CLI configuration interactively,Interactive,htcli config init,✅ Complete,Interactive wizard for initial setup
Configuration,config,show,htcli config show,Display current configuration settings,Table,htcli config show,✅ Complete,Shows all configuration sections
Configuration,config,edit,htcli config edit,Interactive configuration editor within terminal,Interactive,htcli config edit,✅ Complete,In-terminal editor
Configuration,config,set,htcli config set,Set specific configuration values,CLI,htcli config set network.endpoint wss://testnet.hypertensor.ai,✅ Complete,Supports nested keys with type validation
Configuration,config,get,htcli config get,Retrieve specific configuration values,CLI,htcli config get network.endpoint,✅ Complete,Shows value with type and usage tips
Configuration,config,path,htcli config path,Show configuration file path,CLI,htcli config path,✅ Complete,Displays config file location
Configuration,config,validate,htcli config validate,Validate configuration file,CLI,htcli config validate,✅ Complete,Checks config file integrity
Subnet,subnet,register,htcli subnet register,Register a new subnet with comprehensive parameters,CLI,htcli subnet register --name "My AI Subnet" --repo "https://github.com/my/ai-subnet" --description "Advanced AI computation subnet" --min-stake 1000000000000000000 --max-stake 10000000000000000000 --churn-limit 4 --registration-epochs 10 --activation-grace-epochs 5 --idle-epochs 3 --included-epochs 2 --max-penalties 3 --key-name my-subnet-key,✅ Complete,Comprehensive subnet registration
Subnet,subnet,activate,htcli subnet activate,Activate a registered subnet (requires minimum nodes and delegate stake),CLI,htcli subnet activate --subnet-id 1 --key-name my-subnet-key,✅ Complete,Activates subnet for operation
Subnet,subnet,pause,htcli subnet pause,Temporarily pause subnet operations,CLI,htcli subnet pause --subnet-id 1 --key-name my-subnet-key,✅ Complete,Temporary pause for maintenance
Subnet,subnet,unpause,htcli subnet unpause,Resume paused subnet operations,CLI,htcli subnet unpause --subnet-id 1 --key-name my-subnet-key,✅ Complete,Resumes paused subnet
Subnet,subnet,list,htcli subnet list,List all subnets with optional filtering and formatting,CLI,htcli subnet list --format table --limit 10,✅ Complete,Supports --mine flag for personal filtering
Subnet,subnet,info,htcli subnet info,Get detailed information about a specific subnet,CLI,htcli subnet info --subnet-id 1 --format table,✅ Complete,Comprehensive subnet details
Subnet,subnet,owner-update-name,htcli subnet owner-update-name,Update subnet name (owner only),CLI,htcli subnet owner-update-name --subnet-id 1 --name "Updated Subnet Name" --key-name my-subnet-key,✅ Complete,Owner-only operation
Subnet,subnet,owner-update-repo,htcli subnet owner-update-repo,Update subnet repository URL (owner only),CLI,htcli subnet owner-update-repo --subnet-id 1 --repo "https://github.com/my/updated-subnet" --key-name my-subnet-key,✅ Complete,Owner-only operation
Subnet,subnet,owner-update-description,htcli subnet owner-update-description,Update subnet description (owner only),CLI,htcli subnet owner-update-description --subnet-id 1 --description "Updated description" --key-name my-subnet-key,✅ Complete,Owner-only operation
Subnet,subnet,owner-update-churn-limit,htcli subnet owner-update-churn-limit,Update subnet churn limit (owner only),CLI,htcli subnet owner-update-churn-limit --subnet-id 1 --churn-limit 6 --key-name my-subnet-key,✅ Complete,Owner-only operation
Subnet,subnet,owner-update-min-stake,htcli subnet owner-update-min-stake,Update minimum stake requirement (owner only),CLI,htcli subnet owner-update-min-stake --subnet-id 1 --min-stake 2000000000000000000 --key-name my-subnet-key,✅ Complete,Owner-only operation
Subnet,subnet,owner-update-max-stake,htcli subnet owner-update-max-stake,Update maximum stake limit (owner only),CLI,htcli subnet owner-update-max-stake --subnet-id 1 --max-stake 20000000000000000000 --key-name my-subnet-key,✅ Complete,Owner-only operation
Subnet,subnet,owner-transfer-ownership,htcli subnet owner-transfer-ownership,Transfer subnet ownership to another account,CLI,htcli subnet owner-transfer-ownership --subnet-id 1 --new-owner 5HpG9w8EBLe5XCrbczpwq5TSXvedjrBGCwqxK9iYqurHh9Qu --key-name my-subnet-key,✅ Complete,Owner-only operation
